1952938,1,333018958,888,25297464
1952944,1,336090739,888,25636612
1952951,1,338862792,888,25592404
1952952,1,338894884,8,272985
1952953,1,339596270,8,9831520
1952954,1,339598672,8,5799636
1952955,1,339808862,128,6175752
1952956,1,340072609,8,3411496
1952957,1,340157453,40,25970496
1952958,1,340159855,288,25970292
1952971,1,341992912,8,26077936
1952972,1,342034618,664,26644564
1952973,1,342037020,128,441008
1952974,1,343839816,560,26491980
1952975,1,343842218,192,3075228
1952979,1,344293640,8,5028589
1952980,1,344340586,8,2764496
1952981,1,344455618,8,25469696
1952982,1,344460508,128,10999860
1952983,1,344542778,56,10991064
1952984,1,344860151,128,6197824
1952985,1,345725324,8,27379972
1952986,1,345756301,8,5799376
1952987,1,345809211,8,13251640
1952988,1,345836914,8,25493300
1952989,1,345936290,880,24837868
1952990,1,345941094,688,2763868
1952992,1,345974177,224,26644924
1953003,1,348909717,880,25191616
1953004,1,348912119,8,26439332
1953005,1,348984695,128,6948440
1953007,1,349732489,880,25702288
1953016,1,351686155,8,25253888
1953017,1,351690959,32,26680548
1953018,1,351737298,8,13772780
1953019,1,351758731,8,26073044
1953020,1,351854002,8,27409868
1953021,1,352328637,128,6750156
1953022,1,352990504,8,5799628
1953023,1,353075176,128,6015352
1953024,1,354283319,8,7642680
1953025,1,354353407,416,26680568
1953026,1,354355895,880,26219812
1953030,1,354996663,40,26070124
1953031,1,355003869,88,26075892
1953034,1,355119939,304,26070188
1953035,1,355149362,8,3269060
1953036,1,355190113,128,6338688
1953037,1,355192515,16,10623412
1953038,1,355257885,32,20696025
1953039,1,355348830,8,13772792
1953040,1,355454169,880,27368660
1953050,1,359080407,8,5965596
1953051,1,359111756,120,5965644
1953052,1,360751713,8,25052832
1953053,1,360933251,8,3031228
1953054,1,361018009,128,5940560
1953055,1,361035269,16,5726968
1953056,1,361252074,128,6175752
1953057,1,363050571,8,25576920
1953058,1,363215123,40,10608956
1953059,1,363720163,8,27379216
1953060,1,363802347,8,25493260
1953061,1,363878781,8,25492956
1953062,1,363967415,128,5965384
1953070,1,364939219,72,5251692
1953071,1,364942953,8,2593720
1953072,1,364992910,128,6169380
1953073,1,366621621,8,25694340
1953074,1,366624023,880,18449324
1953075,1,366783841,224,5251728
1953076,1,366824181,80,5252060
1953078,1,366884983,376,5251844
1953083,1,369449731,376,25293276
1953091,1,371101691,872,25381796
1953101,1,371526148,872,25201280
1953108,1,373430841,872,25284580
1953116,1,375905835,872,25109056
1953120,1,377539785,872,17245156
1953123,1,378187729,40,17287376
1953124,1,378283809,8,24674336
1953125,1,378288613,128,6262132
1953126,1,379460415,8,3139752
1953127,1,379465219,8,18455420
1953128,1,379525933,16,10977232
1953129,1,379773967,832,17287400
1953133,1,382435910,872,26194228
1953135,1,383395038,872,26168348
1953142,1,386172599,40,26371716
1953148,1,387162885,128,6201464
1953154,1,387881881,312,27544808
1953159,1,388182045,872,27640920
1953172,1,390626969,496,25293024
1953178,1,392305863,864,25275156
1953181,1,393862401,56,27545988
1953182,1,393864803,376,27546048
1953194,1,396534934,872,27644332
1953195,1,396636076,128,6258776
1953196,1,397149371,8,13772788
1953197,1,397264667,128,4032648
1953198,1,398566081,8,15775932
1953199,1,398638665,872,18458208
1953209,1,400250828,864,25080092
1953210,1,400253230,864,25189000
1953225,1,403798044,352,8152548
1953228,1,403962620,864,13823456
1953229,1,403985573,16,26082980
1953230,1,404046408,8,24975260
1953231,1,404251954,8,25909652
1953232,1,404256758,8,2535036
1953233,1,404293555,40,10999456
1953234,1,404296043,128,8161952
1953235,1,404339733,8,5965596
