0,1,1.089115
2,2,0.364059
1,3,0.716565
0,4,1.088593
0,5,1.075061
1,6,0.917389
2,7,0.718512
0,8,1.075076
2,9,0.799266
0,10,1.067852
1,11,0.936876
0,12,1.058717
2,13,0.866873
1,14,0.945016
0,15,1.040960
2,16,0.941693
1,17,0.951812
0,18,1.026060
2,19,0.971619
0,20,1.017936
1,21,0.961401
0,22,1.015695
2,23,0.973163
2,24,0.977785
1,25,0.969073
0,26,1.006970
2,27,0.980282
0,28,0.999969
1,29,0.980630
2,30,0.980085
1,31,0.985697
0,32,0.994544
2,33,0.947248
2,34,0.959647
1,35,0.995590
0,36,0.985594
0,37,0.981499
2,38,0.971915
1,39,1.000777
0,40,0.978681
1,41,1.002740
2,42,0.981789
0,43,0.978594
1,44,1.002170
2,45,0.987623
0,46,0.980815
1,47,0.999633
0,48,0.983505
2,49,0.988954
1,50,0.996301
0,51,0.987682
2,52,0.985824
1,53,0.992390
0,54,0.991917
1,55,0.989161
2,56,0.980484
1,57,0.985719
2,58,0.976189
0,59,0.996060
0,60,0.998916
1,61,0.983042
2,62,0.973507
1,63,0.981493
2,64,0.970730
1,65,0.980332
0,66,1.002743
2,67,0.969427
0,68,1.002827
1,69,0.980664
0,70,1.002762
2,71,0.967954
1,72,0.982323
2,73,0.968257
1,74,0.984683
0,75,0.999893
2,76,0.969005
1,77,0.981672
0,78,0.992497
2,79,0.938884
1,80,0.986410
2,81,0.952803
2,82,0.961532
0,83,0.986917
1,84,0.989035
1,85,0.991219
0,86,0.983423
2,87,0.974626
1,88,0.991900
0,89,0.982900
0,90,0.983490
2,91,0.982657
1,92,0.991902
2,93,0.982748
1,94,0.990619
0,95,0.985956
1,96,0.989339
1,97,0.989332
0,98,0.989410
2,99,0.978750
1,100,0.989299
0,101,0.991643
2,102,0.975309
1,103,0.988804
0,104,0.994104
2,105,0.971913
0,106,0.995774
1,107,0.988125
2,108,0.969900
1,109,0.987587
0,110,0.997131
2,111,0.968806
1,112,0.987447
0,113,0.997692
1,114,0.986119
2,115,0.966123
1,116,0.985574
0,117,0.997721
0,118,0.997064
1,119,0.988340
2,120,0.933901
0,121,0.994521
1,122,0.991472
2,123,0.944210
0,124,0.992229
2,125,0.953515
1,126,0.992529
