Application,Time,Throughput
Application,Time,Throughput
Application,Time,Throughput
Application,Time,Throughput
0,160,0.000000
1,160,0.000000
2,160,0.000000
0,165,0.000000
1,165,0.000000
2,165,0.000000
0,170,0.000000
1,170,0.000000
2,170,0.000000
0,175,0.000000
1,175,0.000000
2,175,0.000000
0,180,0.000000
1,180,0.000000
2,180,0.000000
0,185,0.000000
1,185,0.000000
2,185,0.000000
0,190,0.000000
1,190,0.000000
2,190,0.000000
0,195,0.000000
1,195,0.000000
2,195,0.000000
0,200,0.000000
1,200,0.000000
2,200,0.000000
0,205,0.000000
1,205,0.000000
2,205,0.000000
0,210,0.000000
1,210,0.000000
2,210,0.000000
0,215,0.000000
1,215,0.000000
2,215,0.000000
0,220,0.000000
1,220,0.000000
2,220,0.000000
0,225,0.000000
1,225,0.000000
2,225,0.000000
0,230,0.000000
1,230,0.000000
2,230,0.000000
0,235,0.000000
1,235,0.000000
2,235,0.000000
0,240,0.000000
1,240,0.000000
2,240,0.000000
0,245,0.000000
1,245,0.000000
2,245,0.000000
0,250,0.000000
1,250,0.000000
2,250,0.000000
0,255,0.000000
1,255,0.000000
2,255,0.000000
0,260,0.000000
1,260,0.000000
2,260,0.000000
0,265,0.000000
1,265,0.000000
2,265,0.000000
0,270,0.000000
1,270,0.000000
2,270,0.000000
0,275,0.000000
1,275,0.000000
2,275,0.000000
0,280,0.000000
1,280,0.000000
2,280,0.000000
0,285,0.000000
1,285,0.000000
2,285,0.000000
0,290,0.000000
1,290,0.000000
2,290,0.000000
0,295,0.000000
1,295,0.000000
2,295,0.000000
0,300,0.000000
1,300,0.000000
2,300,0.000000
0,305,0.000000
1,305,0.000000
2,305,0.000000
0,310,0.000000
1,310,0.000000
2,310,0.000000
0,315,0.000000
1,315,0.000000
2,315,0.000000
0,320,0.000000
1,320,0.000000
2,320,0.000000
0,325,0.000000
1,325,0.000000
2,325,0.000000
0,330,0.000000
1,330,0.000000
2,330,0.000000
0,335,0.000000
1,335,0.000000
2,335,0.000000
0,340,0.000000
1,340,0.000000
2,340,0.000000
0,345,0.000000
1,345,0.000000
2,345,0.000000
0,350,0.000000
1,350,0.000000
2,350,0.000000
0,355,0.000000
1,355,0.000000
2,355,0.000000
0,360,0.000000
1,360,0.000000
2,360,0.000000
0,365,0.000000
1,365,0.000000
2,365,0.000000
0,370,0.000000
1,370,0.000000
